"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"URY",2014,25659.90280062024605745,606.17198277306314237
"USA",2014,1736528.880767841271617643,244570.547114275477527031
"UZB",2014,83.12890887847013404,82.49317577612855425
"VCT",2014,10.79353193937771237,0.07492288939941406
"VEN",2014,100940.30571405115346386,6734.04514979831885040
"VGB",2014,0.51146872552083339,0.0
"VIR",2014,21.4717159721006983,0.0
"VNM",2014,217325.17239199238078232,1457.54304175139114219
"VUT",2014,634.42455552457792544,27.93430689398166630
"XAD",2014,2.4157201845269100,0.0
"XKO",2014,760.625678403576425716,32.41774311340928845
"Z01",2014,41.12442164225802932,2.76203225751519098
"Z06",2014,3.78670255087999116,0.25516087552408854
"Z07",2014,7024.63287879126579395,110.87756614515628847
"ZAF",2014,69666.60405778614928538,6241.09542210888624119
"ZMB",2014,114809.73856389087621134,1164.88848713445580448
"ZNC",2014,55.2050299679427814,7.42940706970052167
"ZWE",2014,9614.01590702873849403,49.56632597780435949
"AGO",2015,161710.75581126535381038,2455.53211659966721262
"ALA",2015,567.233041799463498044,0.849828097363281305
"ALB",2015,283.574737103897523084,32.825577822660597024
"AND",2015,2.16778333332465288,0.0
"ARG",2015,180227.81351488457100969,29755.60821085918473555
"ARM",2015,1.99011539360894099,0.11665674138020833
"ATG",2015,8.90747070089626654,0.07361356389105903
"AUS",2015,261574.289381586226966653,173113.968157924873093957
"AUT",2015,7941.067144586750142606,3.936512744524739746
"AZE",2015,26.74519296005208652,21.90127823787108931
"BDI",2015,1458.37852041732457196,0.46089615536187069
"BEL",2015,3420.273924438819929692,0.297803941799045168
"BEN",2015,598.62283681594154973,0.0
"BFA",2015,0.0,0.0
"BGD",2015,12603.40871337122479320,8.19012882561089523
"BGR",2015,7293.066851601213052998,34.73537139484158386
"BHS",2015,1089.01311180571551974,691.57857306039628812
"BIH",2015,580.504892322404581985,10.354520792994792965
"BLM",2015,0.07330418610134548,0.0
"BLR",2015,33899.292105422227211128,1186.156263608366542205
"BLZ",2015,12302.56329622293257182,874.68600944589333511
"BOL",2015,166250.90333105431031415,10408.17549440693602582
"BRA",2015,2222653.78140336225206047,299324.86271027899515111
"BRB",2015,1.94870042457139748,0.7495067315473091
