"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"DMA",2020,65.61122506442002121,38101.106050026022575
"DNK",2020,3193.593482203414408892,1218756.2979186377865500
"DOM",2020,21441.30738443467027882,9978196.196488906278835
"DZA",2020,13072.357037419769731862,2389010.5647473880315498
"ECU",2020,48963.23868776016676787,35469372.890769520849507
"EGY",2020,18.13907616891276139,4397.185499025176982
"ESP",2020,101988.176393417496000073,46460003.7439273444215743
"EST",2020,36805.569045306604504595,12182001.207872063221390
"ETH",2020,17980.78234328901709701,9312937.947945873161101
"FIN",2020,254472.600298344508463919,58874898.4233113891074895
"FJI",2020,2066.83206738261518333,1163673.724813572290255
"FRA",2020,77745.737139422096271571,43946716.822229318119824
"GAB",2020,22022.19705051162214544,14335606.995546073642855
"GBR",2020,22836.270154015512095081,10654447.9995757453810426
"GEO",2020,222.15377600150388582,99417.032554190227291
"GGY",2020,0.2014560815060764,65.61830819889053
"GHA",2020,136613.33537539587061688,85783180.180624968031902
"GIN",2020,178406.70874928507127483,87079177.078447725642076
"GLP",2020,51.92330283529623350,23212.045838992831830
"GMB",2020,9.8925714362065984,2528.871577760068006
"GNB",2020,17107.80284895021677021,7760600.959539993252787
"GNQ",2020,4870.64700301007330896,3372249.845157109290718
"GRC",2020,5427.825421510588908089,1504814.4903567819197768
"GRD",2020,18.43700219297905901,9759.231231079747428
"GTM",2020,98561.32396590574970184,45710976.187327303573659
"GUF",2020,4289.37669249657785709,3274344.334553674379264
"GUY",2020,15769.97951732442418057,9942764.068509721891910
"HND",2020,93648.79185482429325091,49242101.363783705030447
"HRV",2020,6051.722610220719723830,3144794.858432252279312
"HTI",2020,3802.05673911145314928,1797955.808435592636542
"HUN",2020,12016.303963450474259506,5029365.104232028321433
"IDN",2020,961584.79717963051778709,599003233.612464028824281
"IMN",2020,14.25881806646701581,5249.361756178241242
"IND",2020,130854.60339082316621176,72810172.002217523976940
"IRL",2020,6212.890538965919890038,3141978.403759538579553
"IRN",2020,20.19200928916015219,7289.116149308092661
"ISR",2020,46.46654973852538846,15218.4645283173812755
"ITA",2020,28245.356767884452361832,11102502.0185475071435894
"JAM",2020,2169.74570218075956292,1180523.380004511907565
"JEY",2020,0.30383212113715280,124.948486574380635
"JOR",2020,0.19579483644531252,52.566938546683875
"JPN",2020,48058.221412997910734672,23641550.2133517447173799
"KAZ",2020,1853.267679175212233405,718880.9068823462826282
"KEN",2020,19045.37283900203178342,9396596.858079852892587
"KGZ",2020,11.898140121510417382,1828.4118107433301167
"KHM",2020,143528.98846973182545833,83345068.256683826581108
"KNA",2020,10.14993487445637951,4690.191392581703190
"KOR",2020,20122.304110373535170255,6744730.002092301890518
"LAO",2020,357519.43862173180140641,188131420.481120019087685
"LBN",2020,473.08464572179392826,149398.9478619175641335
"LBR",2020,220121.97838960644938022,137617574.056897711861213
"LBY",2020,0.7809010561621094,94.976821681556357
"LCA",2020,40.73259010682671514,23024.037973245476431
"LIE",2020,3.21449726384765614,1980.39702429481307
"LKA",2020,11215.99147357759054092,4610847.797612819654882
"LSO",2020,16.13182196853623970,5432.686165148498042
"LTU",2020,22970.527799865064868086,8719238.028759531273945
"LUX",2020,654.51918871101126333,415268.328780895350304
"LVA",2020,50462.783828106702239754,18508131.037177982599314
"MAF",2020,1.61110014099717890,740.83722906880279
"MAR",2020,3620.77965439201660649,801899.9626469073050935
"MDA",2020,1413.315172163183650944,507660.0454308595952613
